web-scraper-order,title_raw,price_raw,mileage_raw,drive_raw,cartype_raw,fuel_raw,ps_raw,fuel_consumption_raw,seller_raw,selleraddress_raw,model,price,mileage,fuel_consumption,ps,sportcar,mileage_cat,ps_cat,ps_cat2,fuel_consumption_cat,price_cat
1734007284-165,AUDI A4 Avant 3.0 TDI quattro tiptronic,CHF 9'900.–,153'000 km,Allrad,Kombi,Diesel,239 PS (176 kW),7.2 l/100 km,SD Automobile GmbH,"Hauptstrasse 29, 5043 Holziken",Avant 3.0 TDI quattro tiptronic,9900,153000,7.2,239,0,150000-199999,200-249,fast,7.00-7.99,0 - 9999
1734007287-166,AUDI A4 Avant 2.0 TFSI quattro s-tronic Alufelgen 8fach Alcantara Leder Klima Tempomat,CHF 17'500.–,96'000 km,Allrad,Kombi,Benzin,225 PS (165 kW),6.9 l/100 km,Gabriela R.,8604 Volketswil,Avant 2.0 TFSI quattro s-tronic Alufelgen 8fach Alcantara Leder Klima Tempomat,17500,96000,6.9,225,0,50000 - 990000,200-249,fast,6.00-6.99,10000-19999
1734007289-167,AUDI A4 3.2 FSI multitronic,CHF 2'100.–,143'000 km,Vorderradantrieb,Limousine,Benzin,255 PS (188 kW),9.7 l/100 km,Maryan H.,8803 Rüschlikon,3.2 FSI multitronic,2100,143000,9.7,255,0,100000 - 149999,250-299,fast,9.00-9.99,0 - 9999
1734007292-168,AUDI A4 3.0 V6 TDI quattro,CHF 1'900.–,240'000 km,Allrad,Limousine,Diesel,204 PS (150 kW),7.9 l/100 km,Garage Enes,"Sagenbach 20, 6033 Buchrain",3.0 V6 TDI quattro,1900,240000,7.9,204,0,200000-249999,200-249,fast,7.00-7.99,0 - 9999
1734007294-169,AUDI A4 Avant 2.0 TFSI Sport S-tronic,CHF 19'999.–,90'000 km,Vorderradantrieb,Kombi,Benzin,190 PS (140 kW),5.4 l/100 km,Autohandel Hamdar,"Eschenstrasse 12, 6020 Emmen",Avant 2.0 TFSI Sport S-tronic,19999,90000,5.4,190,1,50000 - 990000,150-199,medium,5.00-5.99,10000-19999
1734007299-170,AUDI A4 Avant 40 TDI advanced Attraction quattro S-tronic,CHF 25'990.–,75'000 km,Allrad,Kombi,Diesel,190 PS (140 kW),6.1 l/100 km,Garage Wattinger GmbH,"Störenbergstrasse 12, 8265 Mammern",Avant 40 TDI advanced Attraction quattro S-tronic,25990,75000,6.1,190,1,50000 - 990000,150-199,medium,6.00-6.99,20000-29999
1734007301-171,AUDI A4 Cabriolet 2.0T FSI multitronic,CHF 7'500.–,153'000 km,Vorderradantrieb,Cabriolet,Benzin,200 PS (147 kW),8.5 l/100 km,Tim Automobile / Lancar auto GmbH,"Surhardweg 14, 5102 Rupperswil",Cabriolet 2.0T FSI multitronic,7500,153000,8.5,200,0,150000-199999,150-199,medium,8.00-8.99,0 - 9999
1734007305-173,AUDI A4 Avant 2.0 TFSI Sport quattro S-tronic,CHF 32'000.–,91'750 km,Allrad,Kombi,Benzin,252 PS (185 kW),6.6 l/100 km,R. N.,8832 Wollerau,Avant 2.0 TFSI Sport quattro S-tronic,32000,91750,6.6,252,1,50000 - 990000,250-299,fast,6.00-6.99,30000-39999
1734007308-174,AUDI A4 2.0 TFSI S-tronic,CHF 20'500.–,91'756 km,Vorderradantrieb,Limousine,Benzin,190 PS (140 kW),5.1 l/100 km,Elite Garage - Autohaus GmbH,"Glarnerstrasse 34, 8854 Siebnen",2.0 TFSI S-tronic,20500,91756,5.1,190,1,50000 - 990000,150-199,medium,5.00-5.99,20000-29999
1734007310-175,AUDI A4 Avant 1.8 TFSI multitronic,CHF 3'200.–,227'800 km,Vorderradantrieb,Kombi,Benzin,160 PS (118 kW),7.5 l/100 km,Mudi Autohandel,"Emausstrasse 1, 5621 Zufikon",Avant 1.8 TFSI multitronic,3200,227800,7.5,160,0,200000-249999,150-199,medium,7.00-7.99,0 - 9999
1734007312-176,AUDI A4 Avant 3.0 TDI quattro S-tronic,CHF 15'900.–,124'000 km,Allrad,Kombi,Diesel,245 PS (180 kW),5.9 l/100 km,Le Fossi Automobile,"Wägitalstrasse 18, 8854 Siebnen",Avant 3.0 TDI quattro S-tronic,15900,124000,5.9,245,1,100000 - 149999,200-249,fast,5.00-5.99,10000-19999
1734007315-177,AUDI A4 Avant 2.0 TDI quattro,CHF 3'990.–,223'000 km,Allrad,Kombi,Diesel,170 PS (125 kW),6.8 l/100 km,Autogarage Zurlinde GmbH,"Zurlindenstrasse 218a, 8003 Zürich",Avant 2.0 TDI quattro,3990,223000,6.8,170,0,200000-249999,150-199,medium,6.00-6.99,0 - 9999
1734007318-178,AUDI A4 Avant 2.0 TDI,CHF 15'990.–,127'000 km,Vorderradantrieb,Kombi,Diesel,150 PS (110 kW),4 l/100 km,Winkelbüel Garage AG,"Sinserstrasse 400, 6330 Cham ZG",Avant 2.0 TDI,15990,127000,4.0,150,0,100000 - 149999,100-149,medium,3.00-3.99,10000-19999
1734007320-179,AUDI A4 Avant 40 TDI S line S-tronic,CHF 29'900.–,84'500 km,Vorderradantrieb,Kombi,Diesel,190 PS (140 kW),6.6 l/100 km,AutoCenter Spreitenbach GmbH,"Güterstr. 11, 8957 Spreitenbach",Avant 40 TDI S line S-tronic,29900,84500,6.6,190,1,50000 - 990000,150-199,medium,6.00-6.99,20000-29999
1734007322-180,AUDI A4 Avant 2.0 35 TDI Advanced S-Tronic,CHF 25'800.–,40'000 km,Vorderradantrieb,Kombi,Mild-Hybrid Diesel/Elektro,163 PS (120 kW),5.2 l/100 km,Stalder AG,"Schäracher 1, 6232 Geuensee",Avant 2.0 35 TDI Advanced S-Tronic,25800,40000,5.2,163,1,0 - 49999,150-199,medium,5.00-5.99,20000-29999
1734007325-181,AUDI A4 Avant 2.0 Turbo FSI quattro,CHF 3'999.–,215'000 km,Allrad,Kombi,Benzin,200 PS (147 kW),9.1 l/100 km,auto bruno,8951 Fahrweid,Avant 2.0 Turbo FSI quattro,3999,215000,9.1,200,1,200000-249999,150-199,medium,9.00-9.99,0 - 9999
1734007327-182,AUDI A4 Avant 2.0 TFSI 252 Sport quattro S-tronic,CHF 32'500.–,72'800 km,Allrad,Kombi,Benzin,252 PS (185 kW),6.3 l/100 km,Garage Bucher,"Sulzerstrasse 34, 6289 Hämikon",Avant 2.0 TFSI 252 Sport quattro S-tronic,32500,72800,6.3,252,1,50000 - 990000,250-299,fast,6.00-6.99,30000-39999
1734007332-184,AUDI A4 Avant 3.0 TDI Sport quattro S-tronic,CHF 22'500.–,109'300 km,Allrad,Kombi,Diesel,218 PS (160 kW),4.9 l/100 km,PRODESIGN GmbH,"Oholten 3, 5703 Seon",Avant 3.0 TDI Sport quattro S-tronic,22500,109300,4.9,218,1,100000 - 149999,200-249,fast,4.00-4.99,20000-29999
1734007334-185,AUDI A4 Avant 3.0 V6 TDI quattro,CHF 1'499.–,220'000 km,Allrad,Kombi,Diesel,204 PS (150 kW),7.9 l/100 km,Swisscars,"Zentralstrasse 9, 6036 Dierikon",Avant 3.0 V6 TDI quattro,1499,220000,7.9,204,0,200000-249999,200-249,fast,7.00-7.99,0 - 9999
1734007336-186,AUDI A4 Avant 35 TDI advanced S-tronic,CHF 22'900.–,98'330 km,Vorderradantrieb,Kombi,Mild-Hybrid Diesel/Elektro,163 PS (120 kW),5.5 l/100 km,Albini Auto GmbH,"Riedmattstrasse 8, 8153 Rümlang-Zürich",Avant 35 TDI advanced S-tronic,22900,98330,5.5,163,1,50000 - 990000,150-199,medium,5.00-5.99,20000-29999
1734007339-187,AUDI A4 2.0 TDI,CHF 1'600.–,250'000 km,Vorderradantrieb,Limousine,Diesel,140 PS (103 kW),5.9 l/100 km,"L&M Automobile An & Verkauf & Eintausch möglich. Wir entsorgen für sie Ihr Fahrzeug, gratis Abholung","Werkstrasse 27, 8222 Beringen SH",2.0 TDI,1600,250000,5.9,140,0,200000-249999,100-149,medium,5.00-5.99,0 - 9999
1734007344-189,AUDI A4 Avant 2.0 TFSI quattro S-tronic,CHF 9'800.–,170'200 km,Allrad,Kombi,Benzin,211 PS (155 kW),7.6 l/100 km,A&S Dorfgarage GmbH,"Studacherstrasse 7a, 5416 Kirchdorf AG",Avant 2.0 TFSI quattro S-tronic,9800,170200,7.6,211,1,150000-199999,200-249,fast,7.00-7.99,0 - 9999
1734007348-190,AUDI A4 Avant 2.0 TFSI Design S-tronic,CHF 16'600.–,168'400 km,Vorderradantrieb,Kombi,Benzin,190 PS (140 kW),5.2 l/100 km,AutoX Garage GmbH,"Maurenstrasse 5, 8575 Bürglen TG",Avant 2.0 TFSI Design S-tronic,16600,168400,5.2,190,1,150000-199999,150-199,medium,5.00-5.99,10000-19999
1734007353-192,AUDI A4 Avant 2.0 TFSI Style,CHF 3'890.–,235'775 km,Vorderradantrieb,Kombi,Benzin,180 PS (132 kW),6.6 l/100 km,A. Zidan Autohandel GmbH,"Mühlentalstrasse 261, 8200 Schaffhausen",Avant 2.0 TFSI Style,3890,235775,6.6,180,0,200000-249999,150-199,medium,6.00-6.99,0 - 9999
1734007355-193,AUDI A4 2.5 TDI,CHF 4'190.–,170'200 km,Vorderradantrieb,Limousine,Diesel,163 PS (120 kW),7.1 l/100 km,AutoPark Zug AG,"Alter Hubelweg 3, 6331 Hünenberg",2.5 TDI,4190,170200,7.1,163,0,150000-199999,150-199,medium,7.00-7.99,0 - 9999
