web-scraper-order,title_raw,price_raw,mileage_raw,drive_raw,cartype_raw,fuel_raw,ps_raw,fuel_consumption_raw,seller_raw,selleraddress_raw,model,price,mileage,fuel_consumption,ps,sportcar,mileage_cat,ps_cat,ps_cat2,fuel_consumption_cat,price_cat
1734007441-227,AUDI A4 Avant 2.0 TDIe,CHF 8'790.–,175'349 km,Vorderradantrieb,Kombi,Diesel,136 PS (100 kW),4.8 l/100 km,Destani Auto An- und Verkauf,"Kastellstrasse 1, 8620 Wetzikon",Avant 2.0 TDIe,8790,175349,4.8,136,0,150000-199999,100-149,medium,4.00-4.99,0 - 9999
1734007443-228,AUDI A4 2.0 TDI,CHF 14'900.–,163'000 km,Vorderradantrieb,Limousine,Diesel,143 PS (105 kW),5.3 l/100 km,Sensation Cars AG,"Schanzweg 7, 8330 Pfäffikon ZH",2.0 TDI,14900,163000,5.3,143,0,150000-199999,100-149,medium,5.00-5.99,10000-19999
1734007446-229,AUDI A4 Avant 2.0 TDIe,CHF 9'800.–,194'000 km,Vorderradantrieb,Kombi,Diesel,136 PS (100 kW),4.4 l/100 km,Automarkt Paul Dittli,"Schönbrunn, 6313 Edlibach",Avant 2.0 TDIe,9800,194000,4.4,136,0,150000-199999,100-149,medium,4.00-4.99,0 - 9999
1734007450-230,AUDI A4 Avant 35 TDI S-tronic,CHF 29'900.–,29'000 km,Vorderradantrieb,Kombi,Mild-Hybrid Diesel/Elektro,163 PS (120 kW),5.2 l/100 km,Automarkt Paul Dittli,"Schönbrunn, 6313 Edlibach",Avant 35 TDI S-tronic,29900,29000,5.2,163,1,0 - 49999,150-199,medium,5.00-5.99,20000-29999
1734007453-231,AUDI A4 Avant 40 TDI S line quattro S-tronic,CHF 8'900.–,65'535 km,Allrad,Kombi,Diesel,190 PS (140 kW),5 l/100 km,RemarktCars GmbH,"Althardstrasse 173, 8105 Regensdorf",Avant 40 TDI S line quattro S-tronic,8900,65535,5.0,190,1,50000 - 990000,150-199,medium,4.00-4.99,0 - 9999
1734007455-232,AUDI A4 40 TDI S line S-tronic,CHF 30'980.–,16'163 km,Vorderradantrieb,Limousine,Mild-Hybrid Diesel/Elektro,204 PS (150 kW),5.2 l/100 km,Autohaus Schiess AG,"Büelstrasse 35, 8604 Hegnau-Volketswil",40 TDI S line S-tronic,30980,16163,5.2,204,1,0 - 49999,200-249,fast,5.00-5.99,30000-39999
1734007460-234,AUDI A4 Cabriolet 1.8 Turbo,CHF 5'900.–,86'125 km,Vorderradantrieb,Cabriolet,Benzin,163 PS (120 kW),8.7 l/100 km,Zariyat GmbH    Stefan Regli  Verkaufsleiter  An & Verkauf,"Zugerstrasse 40, 6404 Küssnacht am Rigi",Cabriolet 1.8 Turbo,5900,86125,8.7,163,1,50000 - 990000,150-199,medium,8.00-8.99,0 - 9999
1734007462-235,AUDI A4 35 TFSI advanced S-tronic,CHF 27'990.–,5 km,Vorderradantrieb,Limousine,Mild-Hybrid Benzin/Elektro,150 PS (110 kW),6.3 l/100 km,Autohaus Schiess AG,"Zürcherstrasse 34, 8604 Hegnau-Volketswil",35 TFSI advanced S-tronic,27990,5,6.3,150,1,0 - 49999,100-149,medium,6.00-6.99,20000-29999
1734007464-236,AUDI A4 Avant 1.8 TFSI multitronic,CHF 6'700.–,183'000 km,Vorderradantrieb,Kombi,Benzin,160 PS (118 kW),7.4 l/100 km,Baki Automobile GmbH,"Schickmattweg 2, 8332 Russikon ZH",Avant 1.8 TFSI multitronic,6700,183000,7.4,160,0,150000-199999,150-199,medium,7.00-7.99,0 - 9999
1734007467-237,AUDI A4 3.2 FSI quattro,CHF 4'900.–,181'500 km,Allrad,Limousine,Benzin,255 PS (188 kW),10.8 l/100 km,Autogalerie Bader,"Bahnhofstrasse 2, 5242 Lupfig",3.2 FSI quattro,4900,181500,10.8,255,0,150000-199999,250-299,fast,10.00-10.99,0 - 9999
1734007469-238,AUDI A4 Avant 3.0 TDI Sport qu,CHF 26'995.–,100'000 km,Allrad,Kombi,Diesel,218 PS (160 kW),4.8 l/100 km,Auto A4 Bührer AG,"(Navi)Schaffhauserstrasse 320 / Weinlandstrasse 4, 8452 Adlikon bei Andelfingen",Avant 3.0 TDI Sport qu,26995,100000,4.8,218,1,50000 - 990000,200-249,fast,4.00-4.99,20000-29999
1734007472-239,AUDI A4 Cabriolet 2.0T FSi S line,CHF 7'800.–,159'000 km,Vorderradantrieb,Cabriolet,Benzin,200 PS (147 kW),8.5 l/100 km,Auto Center Wetzikon AG,"Pfäffikerstrasse 78, 8623 Wetzikon ZH",Cabriolet 2.0T FSi S line,7800,159000,8.5,200,1,150000-199999,150-199,medium,8.00-8.99,0 - 9999
1734007474-240,AUDI A4 Avant 1.8 TFSI Automatik,CHF 8'990.–,144'650 km,Vorderradantrieb,Kombi,Benzin,160 PS (118 kW),7.6 l/100 km,Auto Tanex AG,"Hauptstrasse 83, 5274 Mettau",Avant 1.8 TFSI Automatik,8990,144650,7.6,160,0,100000 - 149999,150-199,medium,7.00-7.99,0 - 9999
1734007477-241,AUDI A4 Avant 2.0 TDI quattro S-tronic,CHF 11'999.–,225'200 km,Allrad,Kombi,Diesel,190 PS (140 kW),5.2 l/100 km,Autocenter Berger AG,"Weieracherstrasse 4, 8184 Bachenbülach",Avant 2.0 TDI quattro S-tronic,11999,225200,5.2,190,1,200000-249999,150-199,medium,5.00-5.99,10000-19999
1734007479-242,AUDI A4 Avant 2.0 TDI quattro S-tronic,CHF 17'900.–,124'000 km,Allrad,Kombi,Diesel,190 PS (140 kW),4.6 l/100 km,Autohandel Flawil GmbH,"Sägestrasse 5, 9230 Flawil",Avant 2.0 TDI quattro S-tronic,17900,124000,4.6,190,1,100000 - 149999,150-199,medium,4.00-4.99,10000-19999
1734007481-243,AUDI A4 3.0 TDI multitronic,CHF 17'900.–,133'000 km,Vorderradantrieb,Limousine,Diesel,204 PS (150 kW),4.9 l/100 km,AUTOSHOW AATHAL AG,"Zürichstrasse 47, 8607 Aathal-Seegräben",3.0 TDI multitronic,17900,133000,4.9,204,0,100000 - 149999,200-249,fast,4.00-4.99,10000-19999
1734007484-244,AUDI A4 Cabriolet 2.0T FSI multitronic,CHF 7'800.–,111'000 km,Vorderradantrieb,Cabriolet,Benzin,200 PS (147 kW),8.5 l/100 km,GRÜZE AUTOPARK,"St.Gallerstrasse 188, 8404 Winterthur",Cabriolet 2.0T FSI multitronic,7800,111000,8.5,200,0,100000 - 149999,150-199,medium,8.00-8.99,0 - 9999
1734007486-245,AUDI A4 Avant 2.0 TDI,CHF 15'500.–,145'000 km,Vorderradantrieb,Kombi,Diesel,150 PS (110 kW),4 l/100 km,Hess Automobile GmbH,"Zürcherstrasse 73, 8800 Thalwil",Avant 2.0 TDI,15500,145000,4.0,150,0,100000 - 149999,100-149,medium,3.00-3.99,10000-19999
1734007488-246,AUDI A4 Avant 2.0 TFSI Sport quattro S-tronic,CHF 21'890.–,138'000 km,Allrad,Kombi,Benzin,252 PS (185 kW),6.1 l/100 km,NOMAD CRUISER,"Industriestrasse 40, 8112 Otelfingen",Avant 2.0 TFSI Sport quattro S-tronic,21890,138000,6.1,252,1,100000 - 149999,250-299,fast,6.00-6.99,20000-29999
1734007491-247,AUDI A4 Avant 1.8 TFSI multitronic,CHF 8'900.–,265'000 km,Vorderradantrieb,Kombi,Benzin,170 PS (125 kW),6 l/100 km,GE Automobile AG,"Zürcherstrasse 15, 8620 Wetzikon",Avant 1.8 TFSI multitronic,8900,265000,6.0,170,0,250000-299999,150-199,medium,5.00-5.99,0 - 9999
1734007493-248,AUDI A4 Avant 3.2 FSI quattro,CHF 3'900.–,257'000 km,Allrad,Kombi,Benzin,265 PS (195 kW),9.1 l/100 km,JH&Bro Cars,"Im Werd 4, 8103 Unterengstringen",Avant 3.2 FSI quattro,3900,257000,9.1,265,0,250000-299999,250-299,fast,9.00-9.99,0 - 9999
1734007501-249,AUDI A4 40 TDI S-Line Competition S-tronic,CHF 38'900.–,10 km,Vorderradantrieb,Limousine,Mild-Hybrid Diesel/Elektro,204 PS,5.6 l/100 km,AUTOSHOW AATHAL AG,"Zürichstrasse 47, 8607 Aathal-Seegräben",40 TDI S-Line Competition S-tronic,38900,10,5.6,204,1,0 - 49999,200-249,fast,5.00-5.99,30000-39999
1734007507-250,AUDI A4 Avant 3.0 V6 TDI quattro,CHF 4'500.–,217'000 km,Allrad,Kombi,Diesel,233 PS (171 kW),7.9 l/100 km,Neftenbach Cars GmbH,"Tössallmend 1, 8413 Neftenbach",Avant 3.0 V6 TDI quattro,4500,217000,7.9,233,0,200000-249999,200-249,fast,7.00-7.99,0 - 9999
1734007509-251,AUDI A4 Avant 2.0 TDi S line,CHF 25'800.–,37'000 km,Vorderradantrieb,Kombi,Diesel,150 PS,4.3 l/100 km,Auto Center Wetzikon AG,"Pfäffikerstrasse 78, 8623 Wetzikon ZH",Avant 2.0 TDi S line,25800,37000,4.3,150,1,0 - 49999,100-149,medium,4.00-4.99,20000-29999
1734007511-252,AUDI A4 40 TDI S-Line Competition S-tronic,CHF 39'500.–,10 km,Vorderradantrieb,Limousine,Mild-Hybrid Diesel/Elektro,204 PS,5.6 l/100 km,AUTOSHOW AATHAL AG,"Zürichstrasse 47, 8607 Aathal-Seegräben",40 TDI S-Line Competition S-tronic,39500,10,5.6,204,1,0 - 49999,200-249,fast,5.00-5.99,30000-39999
1734007514-253,AUDI A4 Avant 2.0 TDI Sport quattro S-tronic,CHF 24'900.–,140'000 km,Allrad,Kombi,Diesel,190 PS (140 kW),4.7 l/100 km,SA Cars,"Bürglenstrasse 6, 8584 Opfershofen",Avant 2.0 TDI Sport quattro S-tronic,24900,140000,4.7,190,1,100000 - 149999,150-199,medium,4.00-4.99,20000-29999
1734007516-254,AUDI A4 Avant 2.0 TDI S-tronic / frisch ab MFK/  Lederausstattung / aus 1. Hand / neuwertige Reifen,CHF 16'890.–,143'890 km,Vorderradantrieb,Kombi,Diesel,150 PS (110 kW),4.1 l/100 km,AUTOA GmbH,"Aspstrasse 12, 8154 Oberglatt",Avant 2.0 TDI S-tronic / frisch ab MFK/  Lederausstattung / aus 1. Hand / neuwertige Reifen,16890,143890,4.1,150,1,100000 - 149999,100-149,medium,4.00-4.99,10000-19999
1734007518-255,AUDI A4 Avant 2.0 TDI multitronic,CHF 12'490.–,154'000 km,Vorderradantrieb,Kombi,Diesel,150 PS (110 kW),4.9 l/100 km,Höhtal Garage GmbH,"Höhtal 2, 5420 Ehrendingen",Avant 2.0 TDI multitronic,12490,154000,4.9,150,0,150000-199999,100-149,medium,4.00-4.99,10000-19999
1734007521-256,AUDI A4 Avant 2.0 TDI quattro,CHF 12'900.–,133'600 km,Allrad,Kombi,Diesel,150 PS (110 kW),4.8 l/100 km,Auto Kent GmbH,"Chaltenbodenstrasse 18, 8834 Schindellegi",Avant 2.0 TDI quattro,12900,133600,4.8,150,0,100000 - 149999,100-149,medium,4.00-4.99,10000-19999
1734007523-257,AUDI A4 Avant 3.0 TDI clean diesel quattro s-tronic,CHF 16'900.–,99'998 km,Allrad,Kombi,Diesel,245 PS (180 kW),5.9 l/100 km,BATI-AUTO GmbH,"St.Gallerstrasse 36, 8716 Schmerikon",Avant 3.0 TDI clean diesel quattro s-tronic,16900,99998,5.9,245,0,50000 - 990000,200-249,fast,5.00-5.99,10000-19999
1734007525-258,AUDI A4 Avant 45 TFSI S line S-tronic quattro mit AHK & Veloträger,CHF 46'800.–,12'700 km,Allrad,Kombi,Mild-Hybrid Benzin/Elektro,265 PS (195 kW),8.2 l/100 km,Feldgarage Seengen AG,"Egliswilerstrasse 35, 5707 Seengen",Avant 45 TFSI S line S-tronic quattro mit AHK & Veloträger,46800,12700,8.2,265,1,0 - 49999,250-299,fast,8.00-8.99,40000-49999
1734007532-261,AUDI A4 Avant 40 TFSI Sport S-tronic,CHF 24'800.–,55'000 km,Vorderradantrieb,Kombi,Benzin,190 PS (140 kW),5.9 l/100 km,Hess Automobile GmbH,"Zürcherstrasse 73, 8800 Thalwil",Avant 40 TFSI Sport S-tronic,24800,55000,5.9,190,1,50000 - 990000,150-199,medium,5.00-5.99,20000-29999
1734007534-262,AUDI A4 Avant 2.0 40 TFSI S-Line Sport S-Tronic,CHF 31'800.–,63'713 km,Vorderradantrieb,Kombi,Mild-Hybrid Benzin/Elektro,190 PS (140 kW),8 l/100 km,Touring Garage Eglisau GmbH,"Eigenackerstrasse 45, 8193 Eglisau",Avant 2.0 40 TFSI S-Line Sport S-Tronic,31800,63713,8.0,190,1,50000 - 990000,150-199,medium,7.00-7.99,30000-39999
1734007537-263,AUDI A4 Avant 2.0 40 TDI Advanced quattro S-Tronic,CHF 35'800.–,30'201 km,Allrad,Kombi,Diesel,190 PS (140 kW),6.1 l/100 km,Touring Garage Eglisau GmbH,"Eigenackerstrasse 45, 8193 Eglisau",Avant 2.0 40 TDI Advanced quattro S-Tronic,35800,30201,6.1,190,1,0 - 49999,150-199,medium,6.00-6.99,30000-39999
1734007539-264,AUDI A4 3.0 TFSI quattro S-tronic,CHF 14'990.–,140'900 km,Allrad,Limousine,Benzin,272 PS (200 kW),8.1 l/100 km,GRÜZE AUTOPARK,"St.Gallerstrasse 188, 8404 Winterthur",3.0 TFSI quattro S-tronic,14990,140900,8.1,272,1,100000 - 149999,250-299,fast,8.00-8.99,10000-19999
1734007546-267,AUDI A4 Avant 2.0 TFSI quattro s-tronic S Line,CHF 7'200.–,174'306 km,Allrad,Kombi,Benzin,225 PS (165 kW),6.9 l/100 km,Zariyat GmbH    Stefan Regli  Verkaufsleiter  An & Verkauf,"Zugerstrasse 40, 6404 Küssnacht am Rigi",Avant 2.0 TFSI quattro s-tronic S Line,7200,174306,6.9,225,0,150000-199999,200-249,fast,6.00-6.99,0 - 9999
1734007549-268,AUDI A4 Av. 40 TFSI S-Line S-tronic Competition Plus,CHF 39'800.–,19'000 km,Vorderradantrieb,Kombi,Mild-Hybrid Benzin/Elektro,204 PS,7 l/100 km,AUTOSHOW AATHAL AG,"Zürichstrasse 47, 8607 Aathal-Seegräben",Av. 40 TFSI S-Line S-tronic Competition Plus,39800,19000,7.0,204,1,0 - 49999,200-249,fast,6.00-6.99,30000-39999
1734007551-269,AUDI A4 Avant 35 TFSI S line S-tronic Black Style,CHF 29'980.–,24'667 km,Vorderradantrieb,Kombi,Mild-Hybrid Benzin/Elektro,150 PS (110 kW),6.5 l/100 km,Autohaus Schiess AG,"Zürcherstrasse 34, 8604 Hegnau-Volketswil",Avant 35 TFSI S line S-tronic Black Style,29980,24667,6.5,150,1,0 - 49999,100-149,medium,6.00-6.99,20000-29999
1734007556-270,AUDI A4 Avant 2.0 TDI S-tronic,CHF 15'990.–,214'000 km,Vorderradantrieb,Kombi,Diesel,190 PS (140 kW),4.2 l/100 km,Autozentrale Dietikon,"Überlandstrasse 160, 8953 Dietikon",Avant 2.0 TDI S-tronic,15990,214000,4.2,190,1,200000-249999,150-199,medium,4.00-4.99,10000-19999
1734007558-271,AUDI A4 Avant 40 TDI advanced Attraction quattro S-tronic,CHF 26'800.–,126'000 km,Allrad,Kombi,Diesel,204 PS (150 kW),5.7 l/100 km,Stelz Garage,"Wilerstrasse 207, 9500 Kirchberg, 9500 Wil SG",Avant 40 TDI advanced Attraction quattro S-tronic,26800,126000,5.7,204,1,100000 - 149999,200-249,fast,5.00-5.99,20000-29999
1734007560-272,AUDI A4 Avant 2.0 TDI S-tronic,CHF 15'884.–,178'000 km,Vorderradantrieb,Kombi,Diesel,150 PS (110 kW),4.1 l/100 km,Lip Automobile GmbH,"Sumpfstrasse,32, 6312 Steinhausen",Avant 2.0 TDI S-tronic,15884,178000,4.1,150,1,150000-199999,100-149,medium,4.00-4.99,10000-19999
1734007563-273,AUDI A4 Avant 3.0 TDI Sport quattro S-tronic,CHF 25'800.–,118'000 km,Allrad,Kombi,Diesel,218 PS (160 kW),4.7 l/100 km,Auto Riedmattli,"Asetstrasse 37d, 6438 Ibach",Avant 3.0 TDI Sport quattro S-tronic,25800,118000,4.7,218,1,100000 - 149999,200-249,fast,4.00-4.99,20000-29999
1734007565-274,AUDI A4 Avant 40 TDI Attraction Quattro S-tronic (Automat),CHF 29'900.–,49'990 km,Allrad,Kombi,Diesel,204 PS (150 kW),5.7 l/100 km,Autopark Hegnau AG,"Büelstrasse 44, 8604 Hegnau / Volketswil",Avant 40 TDI Attraction Quattro S-tronic (Automat),29900,49990,5.7,204,1,0 - 49999,200-249,fast,5.00-5.99,20000-29999
1734007567-275,AUDI A4 1.4 TFSI Sport S-tronic,CHF 18'900.–,107'900 km,Vorderradantrieb,Limousine,Benzin,150 PS (110 kW),5.3 l/100 km,Auto Züri-Oberland,"Wässeristrasse 12, 8340 Hinwil",1.4 TFSI Sport S-tronic,18900,107900,5.3,150,1,100000 - 149999,100-149,medium,5.00-5.99,10000-19999
1734007581-281,AUDI A4 Avant 50 TDI Design quattro tiptronic,CHF 36'700.–,59'900 km,Allrad,Kombi,Diesel,286 PS (210 kW),5.8 l/100 km,HOCH Automobile AG,"Nordring 2, 8854 Siebnen",Avant 50 TDI Design quattro tiptronic,36700,59900,5.8,286,0,50000 - 990000,250-299,fast,5.00-5.99,30000-39999
1734007584-282,AUDI A4 Avant 2.0 TDI quattro,CHF 16'900.–,143'000 km,Allrad,Kombi,Diesel,190 PS (140 kW),5.1 l/100 km,Auto Riedmattli,"Asetstrasse 37d, 6438 Ibach",Avant 2.0 TDI quattro,16900,143000,5.1,190,0,100000 - 149999,150-199,medium,5.00-5.99,10000-19999
1734007586-283,AUDI A4 Avant 35 TDI S-tronic,CHF 24'990.–,53'000 km,Vorderradantrieb,Kombi,Diesel,150 PS (110 kW),4.4 l/100 km,Höhtal Garage GmbH,"Höhtal 2, 5420 Ehrendingen",Avant 35 TDI S-tronic,24990,53000,4.4,150,1,50000 - 990000,100-149,medium,4.00-4.99,20000-29999
1734007589-284,AUDI A4 Avant 2.0 TDI quattro S-tronic,CHF 22'490.–,87'000 km,Allrad,Kombi,Diesel,190 PS (140 kW),4.5 l/100 km,Selekt Automobile GmbH,"Sandackerstrasse 10, 9245 Oberbüren",Avant 2.0 TDI quattro S-tronic,22490,87000,4.5,190,1,50000 - 990000,150-199,medium,4.00-4.99,20000-29999
1734007591-285,AUDI A4 Avant 1.8 TFSI,CHF 9'999.–,152'100 km,Vorderradantrieb,Kombi,Benzin,170 PS (125 kW),6.1 l/100 km,Auto Adler GmbH,"Haldenweg 1, 8586 Erlen",Avant 1.8 TFSI,9999,152100,6.1,170,0,150000-199999,150-199,medium,6.00-6.99,0 - 9999
1734007593-286,AUDI A4 Avant 40 TDI Attraction quattro S-tronic,CHF 25'895.–,105'500 km,Allrad,Kombi,Diesel,204 PS (150 kW),6.4 l/100 km,WEWi Automobile AG,"Riedhofstrasse 57, 8408 Winterthur-Wülflingen",Avant 40 TDI Attraction quattro S-tronic,25895,105500,6.4,204,1,100000 - 149999,200-249,fast,6.00-6.99,20000-29999
1734007598-288,AUDI A4 Cabriolet 3.0 V6,CHF 5'900.–,69'000 km,Vorderradantrieb,Cabriolet,Benzin,220 PS (162 kW),10 l/100 km,Auto Smaka GmbH,"Untere Bahnhofstrasse 31, 8340 Hinwil ZH",Cabriolet 3.0 V6,5900,69000,10.0,220,0,50000 - 990000,200-249,fast,9.00-9.99,0 - 9999
1734007600-289,AUDI A4 Avant 2.0 TDI,CHF 9'000.–,194'500 km,Vorderradantrieb,Kombi,Diesel,143 PS (105 kW),5.2 l/100 km,AutoHelvetia.ch GmbH,"Neunfornerstrasse 20, 8475 Ossingen",Avant 2.0 TDI,9000,194500,5.2,143,0,150000-199999,100-149,medium,5.00-5.99,0 - 9999
1734007605-290,AUDI A4 Avant 2.0 TDI quattro S-tronic,CHF 12'900.–,177'000 km,Allrad,Kombi,Diesel,177 PS (130 kW),5.6 l/100 km,Auto Nord Glarnerland GmbH,"Eternitstrasse 21, 8867 Niederurnen",Avant 2.0 TDI quattro S-tronic,12900,177000,5.6,177,1,150000-199999,150-199,medium,5.00-5.99,10000-19999
1734007607-291,AUDI A4 Avant 45 TFSI Sport S-tronic quattro,CHF 21'900.–,166'000 km,Allrad,Kombi,Benzin,245 PS (180 kW),8.6 l/100 km,Autopark Hegnau AG,"Büelstrasse 44, 8604 Hegnau / Volketswil",Avant 45 TFSI Sport S-tronic quattro,21900,166000,8.6,245,1,150000-199999,200-249,fast,8.00-8.99,20000-29999
1734007610-292,AUDI A4 Avant 45 TFSI Sport S-tronic quattro,CHF 28'800.–,103'600 km,Allrad,Kombi,Benzin,245 PS (180 kW),8.6 l/100 km,Top Garage Fischenthal AG,"Tösstalstrasse 263, 8497 Fischenthal",Avant 45 TFSI Sport S-tronic quattro,28800,103600,8.6,245,1,100000 - 149999,200-249,fast,8.00-8.99,20000-29999
1734007618-295,AUDI A4 Avant 2.0 TDI 150 Sport S-Tronic,CHF 18'500.–,112'500 km,Vorderradantrieb,Kombi,Diesel,150 PS (110 kW),4.2 l/100 km,Garage Lüscher AG,"Hauptstrasse 41, 5037 Muhen",Avant 2.0 TDI 150 Sport S-Tronic,18500,112500,4.2,150,1,100000 - 149999,100-149,medium,4.00-4.99,10000-19999
1734007625-297,AUDI A4 35 TFSI advanced S-tronic,CHF 27'990.–,5 km,Vorderradantrieb,Limousine,Benzin,150 PS (110 kW),6.3 l/100 km,Autohaus Schiess AG,"Zürcherstrasse 34, 8604 Hegnau-Volketswil",35 TFSI advanced S-tronic,27990,5,6.3,150,1,0 - 49999,100-149,medium,6.00-6.99,20000-29999
1734007627-298,AUDI A4 40 TFSI S line S-tronic quattro Black Style,CHF 34'980.–,26'473 km,Allrad,Limousine,Mild-Hybrid Benzin/Elektro,204 PS (150 kW),7.2 l/100 km,Autohaus Schiess AG,"Büelstrasse 35, 8604 Hegnau-Volketswil",40 TFSI S line S-tronic quattro Black Style,34980,26473,7.2,204,1,0 - 49999,200-249,fast,7.00-7.99,30000-39999
1734007629-299,AUDI A4 Avant 35 TFSI S line S-tronic,CHF 29'980.–,18'426 km,Vorderradantrieb,Kombi,Mild-Hybrid Benzin/Elektro,150 PS (110 kW),6.4 l/100 km,Autohaus Schiess AG,"Büelstrasse 35, 8604 Hegnau-Volketswil",Avant 35 TFSI S line S-tronic,29980,18426,6.4,150,1,0 - 49999,100-149,medium,6.00-6.99,20000-29999
1734007632-300,AUDI A4 Avant 3.2 FSI quattro tiptronic,CHF 7'900.–,210'400 km,Allrad,Kombi,Benzin,265 PS (195 kW),9.4 l/100 km,NisaCar,"Zellmatte 10, 6214 Schenkon",Avant 3.2 FSI quattro tiptronic,7900,210400,9.4,265,0,200000-249999,250-299,fast,9.00-9.99,0 - 9999
1734007634-301,AUDI A4 Avant 2.0 TDI S-tronic,CHF 15'900.–,148'000 km,Vorderradantrieb,Kombi,Diesel,150 PS (110 kW),4.2 l/100 km,Lip Automobile GmbH,"Sumpfstrasse,32, 6312 Steinhausen",Avant 2.0 TDI S-tronic,15900,148000,4.2,150,1,100000 - 149999,100-149,medium,4.00-4.99,10000-19999
1734007636-302,AUDI A4 1.8 T Ambition,CHF 2'990.–,230'000 km,Vorderradantrieb,Limousine,Benzin,150 PS (110 kW),9.2 l/100 km,GRÜZE AUTOPARK,"St.Gallerstrasse 188, 8404 Winterthur",1.8 T Ambition,2990,230000,9.2,150,0,200000-249999,100-149,medium,9.00-9.99,0 - 9999
1734007639-303,AUDI A4 Avant 3.0 TDI Sport quattro tiptronic,CHF 34'800.–,30'610 km,Allrad,Kombi,Diesel,272 PS (200 kW),5.4 l/100 km,Garage Huber AG,"Rütistrasse 41, 8634 Hombrechtikon",Avant 3.0 TDI Sport quattro tiptronic,34800,30610,5.4,272,1,0 - 49999,250-299,fast,5.00-5.99,30000-39999
1734007641-304,AUDI A4 Avant 3.2 FSI quattro,CHF 3'900.–,313'000 km,Allrad,Kombi,Benzin,255 PS (188 kW),10.8 l/100 km,Auto Sattel GmbH,"Gewerbestrasse 4, 6417 Sattel",Avant 3.2 FSI quattro,3900,313000,10.8,255,0,300000-349999,250-299,fast,10.00-10.99,0 - 9999
1734007643-305,AUDI A4 Avant 1.8 TFSI multitronic,CHF 2'500.–,297'600 km,Vorderradantrieb,Kombi,Benzin,160 PS (118 kW),7.5 l/100 km,Doors Automobile GmbH,"Fabrikstrasse 6, 8340 Hinwil",Avant 1.8 TFSI multitronic,2500,297600,7.5,160,0,250000-299999,150-199,medium,7.00-7.99,0 - 9999
1734007648-307,AUDI A4 Avant 3.0 TDI quattro S-tronic,CHF 11'000.–,189'100 km,Allrad,Kombi,Diesel,245 PS (180 kW),5.9 l/100 km,Doors Automobile GmbH,"Fabrikstrasse 6, 8340 Hinwil",Avant 3.0 TDI quattro S-tronic,11000,189100,5.9,245,1,150000-199999,200-249,fast,5.00-5.99,10000-19999
1734007650-308,AUDI A4 Avant 3.0 TDI quattro S-tronic,CHF 13'400.–,200'000 km,Allrad,Kombi,Diesel,245 PS (180 kW),5.9 l/100 km,Sonix - Trans,"Gschwaderstrasse 71B, 8610 Uster",Avant 3.0 TDI quattro S-tronic,13400,200000,5.9,245,1,150000-199999,200-249,fast,5.00-5.99,10000-19999
1734007653-309,AUDI A4 Avant 35 TDI Design S-tronic,CHF 18'990.–,101'700 km,Vorderradantrieb,Kombi,Diesel,150 PS (110 kW),6.6 l/100 km,Auto Garage Bachs GmbH,"Dorfstrasse 14, 8164 Bachs",Avant 35 TDI Design S-tronic,18990,101700,6.6,150,1,100000 - 149999,100-149,medium,6.00-6.99,10000-19999
1734007660-311,AUDI A4 2.0 TDI Design S-tronic,CHF 32'900.–,61'000 km,Vorderradantrieb,Limousine,Diesel,190 PS (140 kW),4.2 l/100 km,Garage Andermatt AG Baar,"Ruessenstrasse 22, 6340 Baar",2.0 TDI Design S-tronic,32900,61000,4.2,190,1,50000 - 990000,150-199,medium,4.00-4.99,30000-39999
1734007662-312,AUDI A4 Avant 40 TDI S line quattro S-tronic,CHF 31'890.–,63'500 km,Allrad,Kombi,Diesel,190 PS (140 kW),5 l/100 km,aumito,"St. Gallerstrasse 44, 9548 Matzingen",Avant 40 TDI S line quattro S-tronic,31890,63500,5.0,190,1,50000 - 990000,150-199,medium,4.00-4.99,30000-39999
1734007665-313,AUDI A4 Avant 2.0 TFSI Sport S-tronic,CHF 21'450.–,67'800 km,Vorderradantrieb,Kombi,Benzin,190 PS (140 kW),5.4 l/100 km,AMAG Automobil und Motoren AG,"Zugerstrasse 2, 6340 Sihlbrugg",Avant 2.0 TFSI Sport S-tronic,21450,67800,5.4,190,1,50000 - 990000,150-199,medium,5.00-5.99,20000-29999
1734007671-316,AUDI A4 2.8 quattro Ambition,CHF 4'999.–,282'000 km,Allrad,Limousine,Benzin,193 PS (142 kW),11 l/100 km,R&M  Automobile GmbH,"Gewerbestrasse 6, 6417 Sattel",2.8 quattro Ambition,4999,282000,11.0,193,0,250000-299999,150-199,medium,10.00-10.99,0 - 9999
1734007674-317,AUDI A4 Avant 2.0 TDI Design quattro S-tronic,CHF 21'500.–,122'000 km,Allrad,Kombi,Diesel,190 PS (140 kW),4.6 l/100 km,Garage Braschler AG,"Feldmoosstrasse 8, 8853 Lachen",Avant 2.0 TDI Design quattro S-tronic,21500,122000,4.6,190,1,100000 - 149999,150-199,medium,4.00-4.99,20000-29999
1734007681-320,AUDI A4 1.8 TFSI multitronic,CHF 15'000.–,78'800 km,Vorderradantrieb,Limousine,Benzin,170 PS (125 kW),5.8 l/100 km,Doors Automobile GmbH,"Fabrikstrasse 6, 8340 Hinwil",1.8 TFSI multitronic,15000,78800,5.8,170,0,50000 - 990000,150-199,medium,5.00-5.99,10000-19999
