original_,original_selleraddress_raw,lat,lon,formatted,name,housenumber,street,district,suburb,state_code,postcode,city,county,state,country,country_code,confidence,confidence_city_level,confidence_street_level,confidence_building_level,attribution,attribution_license,attribution_url
109,"Zürichstrasse 72, 8840 Einsiedeln",47.1382892,8.7463756,"Zürichstrasse 72, 8840 Einsiedeln, Switzerland",,72,Zürichstrasse,,,SZ,8840,Einsiedeln,Einsiedeln,Schwyz,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
110,"Sägereistrasse 3, 8500 Frauenfeld",47.5652701,8.908583,"Sägereistrasse 3, 8501 Frauenfeld, Switzerland",Sägereistrasse,3,Sägereistrasse,Langdorf,,TG,8501,Frauenfeld,Bezirk Frauenfeld,Thurgau,Switzerland,ch,0.5,1,1,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
111,"Franzosenstrasse 26, 6423 Seewen SZ",47.0229359,8.6337789,"Franzosenstrasse 26, 6423 Schwyz, Switzerland",,26,Franzosenstrasse,Rösslimatt,,SZ,6423,Schwyz,Schwyz,Schwyz,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
112,"Neuhausstrasse 42, 9542 Münchwilen TG",47.4718644,9.0078756,"Neuhausstrasse 42, 9542 Münchwilen (TG), Switzerland",Neuhausstrasse,42,Neuhausstrasse,,,TG,9542,Münchwilen (TG),Bezirk Münchwilen,Thurgau,Switzerland,ch,0.5,1,1,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
113,"Neuhausstrasse 42, 9542 Münchwilen TG",47.4718644,9.0078756,"Neuhausstrasse 42, 9542 Münchwilen (TG), Switzerland",Neuhausstrasse,42,Neuhausstrasse,,,TG,9542,Münchwilen (TG),Bezirk Münchwilen,Thurgau,Switzerland,ch,0.5,1,1,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
114,"Neuhausstrasse 42, 9542 Münchwilen TG",47.4718644,9.0078756,"Neuhausstrasse 42, 9542 Münchwilen (TG), Switzerland",Neuhausstrasse,42,Neuhausstrasse,,,TG,9542,Münchwilen (TG),Bezirk Münchwilen,Thurgau,Switzerland,ch,0.5,1,1,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
115,"Bahnhofstrasse 36, 5322 Koblenz",47.602961300000004,8.228181336866882,"Bahnhofstrasse 36, 5322 Koblenz, Switzerland",,36,Bahnhofstrasse,,,AG,5322,Koblenz,Bezirk Zurzach,Aargau,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
116,"Buholzstrasse 40, 6032 Emmen",47.09282805,8.318723508316967,"Buholzstrasse 40, 6032 Emmen, Switzerland",,40,Buholzstrasse,,,,6032,Emmen,,Lucerne,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
117,"Neue Winterthurerstrasse 5, 8303 Bassersdorf",47.42858205,8.64438355,"Neue Winterthurerstrasse 5, 8303 Bassersdorf, Switzerland",,5,Neue Winterthurerstrasse,,,,8303,Bassersdorf,Bezirk Bülach,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
118,"Sägereistrasse 3, 8500 Frauenfeld",47.5652701,8.908583,"Sägereistrasse 3, 8501 Frauenfeld, Switzerland",Sägereistrasse,3,Sägereistrasse,Langdorf,,TG,8501,Frauenfeld,Bezirk Frauenfeld,Thurgau,Switzerland,ch,0.5,1,1,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
119,"Langfeldstrasse 10, 9200 Gossau",47.423949,9.242206,"Langfeldstrasse 10, 9201 Gossau (SG), Switzerland",,10,Langfeldstrasse,Gossau,,,9201,Gossau (SG),St. Gallen,Saint Gallen,Switzerland,ch,1,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
120,"Buzibachstrasse 43, 6023 Rothenburg",47.090220599999995,8.255328500000005,"Buzibachstrasse 43, 6023 Rothenburg, Switzerland",,43,Buzibachstrasse,,Buzibach,,6023,Rothenburg,,Lucerne,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
121,"Fischingerstrasse 69 (MIT NAVI 67), 8370 Sirnach",47.45702835,8.988666020369209,"Fischingerstrasse 69, 8370 Wiezikon b. Sirnach, Switzerland",,69,Fischingerstrasse,,,TG,8370,Wiezikon b. Sirnach,Bezirk Münchwilen,Thurgau,Switzerland,ch,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
122,"Industriestrasse 12, 6436 Ried (Muotathal)",46.9885276,8.701826379854182,"Industriestrasse 12, 6436 Muotathal, Switzerland",,12,Industriestrasse,,,SZ,6436,Muotathal,Schwyz,Schwyz,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
123,"Industriestrasse 16, 5610 Wohlen",47.3520234,8.262550860151718,"Industriestrasse 16, 5610 Wohlen, Switzerland",,16,Industriestrasse,,,AG,5610,Wohlen,Bezirk Bremgarten,Aargau,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
124,"Riedmattstrasse 8, 8153 Rümlang-Zürich",47.4616789,8.5244134,"Riedmattstrasse 8, 8153 Rümlang, Switzerland",,8,Riedmattstrasse,,,,8153,Rümlang,Bezirk Dielsdorf,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
125,"Gillhofstrasse 3, 8554 Bonau",47.582855,9.044261,"Gillhofstrasse 3, 8554 Bonau, Switzerland",,3,Gillhofstrasse,Wigoltingen,,TG,8554,Bonau,Weinfelden,Thurgau,Switzerland,ch,1,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
126,"Althardstrasse 298, 8105 Regensdorf ( Zürich )",47.445568,8.46092,"Althardstrasse 298, 8105 Regensdorf, Switzerland",,298,Althardstrasse,Regensdorf,,,8105,Regensdorf,Dielsdorf,Zurich,Switzerland,ch,1,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
