original_,original_selleraddress_raw,lat,lon,formatted,name,housenumber,street,district,suburb,state_code,postcode,city,county,state,country,country_code,confidence,confidence_city_level,confidence_street_level,confidence_building_level,attribution,attribution_license,attribution_url
172,"Oholten 3, 5703 Seon",47.3551668,8.1699036,"Oholten 3, 5703 Seon, Switzerland",,3,Oholten,,,AG,5703,Seon,Bezirk Lenzburg,Aargau,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
173,"Zentralstrasse 9, 6036 Dierikon",47.0961766,8.366208906420571,"Zentralstrasse 9, 6036 Dierikon, Switzerland",,9,Zentralstrasse,,,,6036,Dierikon,,Lucerne,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
174,"Riedmattstrasse 8, 8153 Rümlang-Zürich",47.4616789,8.5244134,"Riedmattstrasse 8, 8153 Rümlang, Switzerland",,8,Riedmattstrasse,,,,8153,Rümlang,Bezirk Dielsdorf,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
175,"Werkstrasse 27, 8222 Beringen SH",47.694024,8.568934,"Werkstrasse 27, 8223 Guntmadingen, Switzerland",,27,Werkstrasse,Beringen,Industriegebiet Beringen (Zone A),SH,8223,Guntmadingen,Schaffhausen,Schaffhausen,Switzerland,ch,1,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
176,"Studacherstrasse 7a, 5416 Kirchdorf AG",47.4932572,8.2749672,"Studacherstrasse 7a, 5416 Kirchdorf, Switzerland",,7a,Studacherstrasse,,,AG,5416,Kirchdorf,Bezirk Baden,Aargau,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
177,"Maurenstrasse 5, 8575 Bürglen TG",47.5515361,9.1530409,"Maurenstrasse 5, 8575 Istighofen, Switzerland",Maurenstrasse,5,Maurenstrasse,,,TG,8575,Istighofen,Bezirk Weinfelden,Thurgau,Switzerland,ch,0.75,1,1,0.75,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
178,"Mühlentalstrasse 261, 8200 Schaffhausen",47.714062,8.631263,"Mühlentalstrasse 261, 8200 Schaffhausen, Switzerland",,261,Mühlentalstrasse,Schaffhausen,,SH,8200,Schaffhausen,Schaffhausen,Schaffhausen,Switzerland,ch,1,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
179,"Alter Hubelweg 3, 6331 Hünenberg",47.178123,8.4328,"Alter Hubelweg 3, 6331 Hünenberg, Switzerland",,3,Alter Hubelweg,Hünenberg,,ZG,6331,Hünenberg,Zug,Zug,Switzerland,ch,1,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
180,8802 Kilchberg,47.3225316,8.5459483,"8802 Kilchberg (ZH), Switzerland",,,,,,,8802,Kilchberg (ZH),Bezirk Horgen,Zurich,Switzerland,ch,1,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
181,"St. Gallerstrasse 41, 8716 Schmerikon",47.22763275,8.95643714655985,"St. Gallerstrasse 41, 8716 Schmerikon, Switzerland",,41,St. Gallerstrasse,,,,8716,Schmerikon,Wahlkreis See-Gaster,St. Gallen,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
182,"Riedmattstrasse 5, 8153 Rümlang Kantons Zürich",47.46093375,8.52569178286458,"Carroserie Stocker, Riedmattstrasse 5, 8153 Rümlang, Switzerland",Carroserie Stocker,5,Riedmattstrasse,,,,8153,Rümlang,Bezirk Dielsdorf,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
183,"Hauptstrasse 77, 8552 Felben-Wellhausen",47.5838119,8.9475842,"Hauptstrasse 77, 8552 Felben-Wellhausen, Switzerland",,77,Hauptstrasse,,,TG,8552,Felben-Wellhausen,Bezirk Frauenfeld,Thurgau,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
184,"Auwiesenstrasse 2, 8406 Winterthur",47.4850845,8.709844757565726,"Auwiesenstrasse 2, 8406 Winterthur, Switzerland",,2,Auwiesenstrasse,Eichliacker,Töss,,8406,Winterthur,Bezirk Winterthur,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
185,9200 Gossau,47.415224462,9.25338476,"9200 Gossau (SG), Switzerland",,,,,,,9200,Gossau (SG),Wahlkreis St. Gallen,St. Gallen,Switzerland,ch,1,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
186,"Althardstrasse 298, 8105 Regensdorf ( Zürich )",47.445568,8.46092,"Althardstrasse 298, 8105 Regensdorf, Switzerland",,298,Althardstrasse,Regensdorf,,,8105,Regensdorf,Dielsdorf,Zurich,Switzerland,ch,1,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
187,8134 Adliswil,47.3117624,8.52491,"8134 Adliswil, Switzerland",,,,,,,8134,Adliswil,Bezirk Horgen,Zurich,Switzerland,ch,1,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
188,"Bahnhofstrasse 50, 9242 Oberuzwil",47.43404795,9.128828542772137,"Bahnhofstrasse 50, 9242 Oberuzwil, Switzerland",,50,Bahnhofstrasse,,,,9242,Oberuzwil,Wahlkreis Wil,St. Gallen,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
189,"Rösslimattstrasse 46, 5033 Buchs AG",47.38872995,8.08106865808141,"Rösslimattstrasse 46, 5033 Buchs (AG), Switzerland",,46,Rösslimattstrasse,Usserdorf,,AG,5033,Buchs (AG),Bezirk Aarau,Aargau,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
190,"Oberneuhofstrasse 13, 6340 Baar",47.18679885,8.5167778,"Oberneuhofstrasse 13, 6340 Baar, Switzerland",,13,Oberneuhofstrasse,,,ZG,6340,Baar,,Zug,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
191,"Maurenstrasse 5, 8575 Bürglen TG",47.5515361,9.1530409,"Maurenstrasse 5, 8575 Istighofen, Switzerland",Maurenstrasse,5,Maurenstrasse,,,TG,8575,Istighofen,Bezirk Weinfelden,Thurgau,Switzerland,ch,0.75,1,1,0.75,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
192,"Flurlingerweg 15, 8245 Feuerthalen",47.687326049999996,8.64315333817174,"Flurlingerweg 15, 8245 Langwiesen, Switzerland",,15,Flurlingerweg,,,,8245,Langwiesen,Bezirk Andelfingen,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
193,"Hauptstr. 96, 5032 Aarau Rohr",47.404485,8.09083,"Hauptstrasse 96, 5032 Aarau Rohr, Switzerland",,96,Hauptstrasse,Aarau,,AG,5032,Aarau Rohr,Aarau,Aargau,Switzerland,ch,1,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
194,"Püntstrasse 4, 8543 Gundetswil",47.54031155,8.818665614419562,"Püntstrasse 4, 8543 Gundetswil, Switzerland",,4,Püntstrasse,,,,8543,Gundetswil,Bezirk Winterthur,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
195,8953 Dietikon,47.4068827,8.4020894,"8953 Dietikon, Switzerland",,,,,,,8953,Dietikon,Bezirk Dietikon,Zurich,Switzerland,ch,1,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
196,"Landstrasse 10, 5300 Turgi",47.4860697,8.2668932,"Landstrasse 10, 5300 Baden, Switzerland",,10,Landstrasse,,,AG,5300,Baden,Bezirk Baden,Aargau,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
197,"Rietstrasse 16, 8108 Dällikon (ZH)",47.44856995000001,8.430825621026617,"Rietstrasse 16, 8108 Dällikon, Switzerland",,16,Rietstrasse,,,,8108,Dällikon,Bezirk Dielsdorf,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
198,"Scherzerstrasse 4, 5116 Schinznach-Bad",47.4504227,8.1695062,"Scherzerstrasse 4, 5116 Brugg, Switzerland",,4,Scherzerstrasse,,,AG,5116,Brugg,Bezirk Brugg,Aargau,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
199,"Brunnenwiesenstrasse 17, 8172 Niederglatt",47.498255,8.493288,"Brunnenwiesenstrasse 17, 8172 Niederglatt, Switzerland",,17,Brunnenwiesenstrasse,Niederglatt,,,8172,Niederglatt,Dielsdorf,Zurich,Switzerland,ch,1,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
200,"Allmendstrasse 24, 8427 Rorbas",47.5325407,8.580674895757967,"Allmendstrasse 24, 8427 Rorbas, Switzerland",,24,Allmendstrasse,Im Geissenrain,,,8427,Rorbas,Bezirk Bülach,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
201,"Alpenblickstrasse 9a/b, 8853 Lachen",47.1906067,8.8559394,"Alpenblickstrasse, 8853 Lachen, Switzerland",Alpenblickstrasse,,Alpenblickstrasse,Oberdorf,,SZ,8853,Lachen,March,Schwyz,Switzerland,ch,0.5,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
202,"Bergermoosstr.10, 8902 Urdorf",47.369463999999994,8.422281958569492,"Bergermoosstrasse 10, 8902 Urdorf, Switzerland",,10,Bergermoosstrasse,,,,8902,Urdorf,Bezirk Dietikon,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
203,8800 Thalwil,47.2944325,8.5635762,"8800 Thalwil, Switzerland",,,,,,,8800,Thalwil,Bezirk Horgen,Zurich,Switzerland,ch,1,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
204,8500 Frauenfeld,47.555284549,8.890225435,"8500 Frauenfeld, Switzerland",,,,,,TG,8500,Frauenfeld,Bezirk Frauenfeld,Thurgau,Switzerland,ch,1,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
205,8700 Küsnacht,47.3176276,8.5830859,"8700 Küsnacht (ZH), Switzerland",,,,,,,8700,Küsnacht (ZH),Bezirk Meilen,Zurich,Switzerland,ch,1,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
206,8240 Thayngen,47.748866435,8.70907085,"8240 Thayngen, Switzerland",,,,,,SH,8240,Thayngen,,Schaffhausen,Switzerland,ch,1,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
207,8600 Dübendorf,47.3969942,8.6185666,"8600 Dübendorf, Switzerland",,,,,,,8600,Dübendorf,Bezirk Uster,Zurich,Switzerland,ch,1,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
208,8632 Tann,47.2713759,8.8535852,"8632 Tann (Tann), Switzerland",,,,,,,8632,Tann,Bezirk Hinwil,Zurich,Switzerland,ch,1,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
209,"Untere Bahnhofstrasse 31, 8340 Hinwil ZH",47.30018,8.836204,"Untere Bahnhofstrasse 31, 8340 Hinwil, Switzerland",,31,Untere Bahnhofstrasse,Hinwil,,,8340,Hinwil,Hinwil,Zurich,Switzerland,ch,1,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
210,"Obere Bahnhostrasse 16, 5507 Mellingen",47.429287,8.272937,"Obere Bahnhofstrasse 16, 5507 Mellingen, Switzerland",,16,Obere Bahnhofstrasse,Mellingen,,AG,5507,Mellingen,Baden,Aargau,Switzerland,ch,0.8357142857142857,1,0.8357142857142857,0.8357142857142857,© OpenAddresses contributors,BSD-3-Clause License,
211,"Kastellstrasse 1, 8620 Wetzikon",47.33321,8.801611,"Kastellstrasse 1, 8623 Wetzikon (ZH), Switzerland",,1,Kastellstrasse,Wetzikon,Oberwetzikon,,8623,Wetzikon (ZH),Hinwil,Zurich,Switzerland,ch,1,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
212,"Schanzweg 7, 8330 Pfäffikon ZH",47.364047,8.76779,"Schanzweg 7, 8330 Pfäffikon, Switzerland",,7,Schanzweg,Pfäffikon,,,8330,Pfäffikon,Pfaffikon,Zurich,Switzerland,ch,1,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
213,"Schönbrunn, 6313 Edlibach",47.1774026,8.5636915,"Schönbrunn, 6313 Edlibach, Switzerland",Schönbrunn,,,,,ZG,6313,Edlibach,,Zug,Switzerland,ch,1,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
214,"Schönbrunn, 6313 Edlibach",47.1774026,8.5636915,"Schönbrunn, 6313 Edlibach, Switzerland",Schönbrunn,,,,,ZG,6313,Edlibach,,Zug,Switzerland,ch,1,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
215,"Althardstrasse 173, 8105 Regensdorf",47.4415977,8.465897,"Althardstrasse 173, 8105 Regensdorf, Switzerland",Althardstrasse,173,Althardstrasse,,,,8105,Regensdorf,Bezirk Dielsdorf,Zurich,Switzerland,ch,0.75,1,1,0.75,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
216,"Büelstrasse 35, 8604 Hegnau-Volketswil",47.39384,8.661335,"Büelstrasse 35, 8604 Volketswil, Switzerland",,35,Büelstrasse,Volketswil,,,8604,Volketswil,Uster,Zurich,Switzerland,ch,1,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
217,"Zugerstrasse 40, 6404 Küssnacht am Rigi",47.1024538,8.451129820671522,"Coop Pronto, Zugerstrasse 40, 6403 Immensee, Switzerland",Coop Pronto,40,Zugerstrasse,Küssnacht,,SZ,6403,Immensee,Küssnacht,Schwyz,Switzerland,ch,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
218,"Zürcherstrasse 34, 8604 Hegnau-Volketswil",47.3924365,8.6660756,"Auto Schiess, Zürcherstrasse 34, 8604 Volketswil, Switzerland",Auto Schiess,34,Zürcherstrasse,,,,8604,Volketswil,Bezirk Uster,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
219,"Schickmattweg 2, 8332 Russikon ZH",47.391556249999994,8.774432319857443,"Schickmattweg 2, 8332 Russikon, Switzerland",,2,Schickmattweg,,Gugguhof,,8332,Russikon,Bezirk Pfäffikon,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
220,"Bahnhofstrasse 2, 5242 Lupfig",47.4409141,8.2046219,"Bahnhofstrasse 2, 5242 Lupfig, Switzerland",,2,Bahnhofstrasse,,,AG,5242,Lupfig,Bezirk Brugg,Aargau,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
221,"(Navi)Schaffhauserstrasse 320 / Weinlandstrasse 4, 8452 Adlikon bei Andelfingen",47.5460866,8.7098861,"Schaffhauserstrasse 4, 8452 Hettlingen, Switzerland",,4,Schaffhauserstrasse,Hettlingen,,,8452,Hettlingen,Winterthur,Zurich,Switzerland,ch,0.1,0.3333333333333333,0.11111111111111112,0.11111111111111112,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
222,"Pfäffikerstrasse 78, 8623 Wetzikon ZH",47.33778955,8.81148942171847,"Auto-Center, Pfäffikerstrasse 78, 8623 Wetzikon (ZH), Switzerland",Auto-Center,78,Pfäffikerstrasse,,Oberwetzikon,,8623,Wetzikon (ZH),Bezirk Hinwil,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
223,"Hauptstrasse 83, 5274 Mettau",47.562800300000006,8.129117445477622,"Hauptstrasse 83, 5274 Mettauertal, Switzerland",,83,Hauptstrasse,,,AG,5274,Mettauertal,Bezirk Laufenburg,Aargau,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
224,"Weieracherstrasse 4, 8184 Bachenbülach",47.50580925,8.539462107632573,"Weieracherstrasse 4, 8184 Bachenbülach, Switzerland",,4,Weieracherstrasse,,,,8184,Bachenbülach,Bezirk Bülach,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
225,"Sägestrasse 5, 9230 Flawil",47.416398,9.17929455,"Sägestrasse 5, 9230 Flawil, Switzerland",,5,Sägestrasse,Botsberg,,,9230,Flawil,Wahlkreis Wil,St. Gallen,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
226,"Zürichstrasse 47, 8607 Aathal-Seegräben",47.337943249999995,8.76313738620009,"Zürichstrasse 47, 8607 Sack, Switzerland",,47,Zürichstrasse,,,,8607,Sack,Bezirk Hinwil,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
227,"St.Gallerstrasse 188, 8404 Winterthur",47.49890225,8.761576394206449,"St. Gallerstrasse 188, 8404 Winterthur, Switzerland",,188,St. Gallerstrasse,,Oberwinterthur,,8404,Winterthur,Bezirk Winterthur,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
228,"Zürcherstrasse 73, 8800 Thalwil",47.285635,8.563142808001063,"Zürcherstrasse 73, 8800 Thalwil, Switzerland",,73,Zürcherstrasse,Böni,,,8800,Thalwil,Bezirk Horgen,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
229,"Industriestrasse 40, 8112 Otelfingen",47.4576968,8.399279658007718,"Industriestrasse 40, 8112 Otelfingen, Switzerland",,40,Industriestrasse,,,,8112,Otelfingen,Bezirk Dielsdorf,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
230,"Zürcherstrasse 15, 8620 Wetzikon",47.32020205,8.790778918844985,"Gruss-Ehrler, Zürcherstrasse 15, 8620 Wetzikon (ZH), Switzerland",Gruss-Ehrler,15,Zürcherstrasse,,Unterwetzikon,,8620,Wetzikon (ZH),Bezirk Hinwil,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
231,"Im Werd 4, 8103 Unterengstringen",47.402296050000004,8.427641097963356,"Im Werd 4, 8103 Unterengstringen, Switzerland",,4,Im Werd,,,,8103,Unterengstringen,Bezirk Dietikon,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
232,"Zürichstrasse 47, 8607 Aathal-Seegräben",47.337943249999995,8.76313738620009,"Zürichstrasse 47, 8607 Sack, Switzerland",,47,Zürichstrasse,,,,8607,Sack,Bezirk Hinwil,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
233,"Tössallmend 1, 8413 Neftenbach",47.519388,8.659308501908804,"Tössallmendstrasse 1, 8413 Neftenbach, Switzerland",,1,Tössallmendstrasse,Zelgli,,,8413,Neftenbach,Bezirk Winterthur,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
234,"Pfäffikerstrasse 78, 8623 Wetzikon ZH",47.33778955,8.81148942171847,"Auto-Center, Pfäffikerstrasse 78, 8623 Wetzikon (ZH), Switzerland",Auto-Center,78,Pfäffikerstrasse,,Oberwetzikon,,8623,Wetzikon (ZH),Bezirk Hinwil,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
235,"Zürichstrasse 47, 8607 Aathal-Seegräben",47.337943249999995,8.76313738620009,"Zürichstrasse 47, 8607 Sack, Switzerland",,47,Zürichstrasse,,,,8607,Sack,Bezirk Hinwil,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
236,"Bürglenstrasse 6, 8584 Opfershofen",47.5594227,9.1738997,"Bürglenstrasse 6, 8584 Opfershofen TG, Switzerland",,6,Bürglenstrasse,,,TG,8584,Opfershofen TG,Bezirk Weinfelden,Thurgau,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
237,"Aspstrasse 12, 8154 Oberglatt",47.483028,8.502624,"Aspstrasse 12, 8154 Oberglatt, Switzerland",,12,Aspstrasse,Oberglatt,,,8154,Oberglatt,Dielsdorf,Zurich,Switzerland,ch,1,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
238,"Höhtal 2, 5420 Ehrendingen",47.485081449999996,8.333578113379069,"Höhtal 2, 5420 Ehrendingen, Switzerland",,2,Höhtal,,,AG,5420,Ehrendingen,Bezirk Baden,Aargau,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
239,"Chaltenbodenstrasse 18, 8834 Schindellegi",47.1676199,8.7293271,"Chaltenbodenstrasse 18, 8834 Schindellegi, Switzerland",Chaltenbodenstrasse,18,Chaltenbodenstrasse,,,SZ,8834,Schindellegi,Höfe,Schwyz,Switzerland,ch,0.75,1,1,0.75,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
240,"St.Gallerstrasse 36, 8716 Schmerikon",47.2261615,8.9486461,"St. Gallerstrasse 36, 8716 Schmerikon, Switzerland",St. Gallerstrasse,36,St. Gallerstrasse,,,,8716,Schmerikon,Wahlkreis See-Gaster,St. Gallen,Switzerland,ch,0.5,1,1,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
241,"Egliswilerstrasse 35, 5707 Seengen",47.32946755,8.201948100059536,"Egliswilerstrasse 35, 5707 Seengen, Switzerland",,35,Egliswilerstrasse,,,AG,5707,Seengen,Bezirk Lenzburg,Aargau,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
242,"Zürcherstrasse 73, 8800 Thalwil",47.285635,8.563142808001063,"Zürcherstrasse 73, 8800 Thalwil, Switzerland",,73,Zürcherstrasse,Böni,,,8800,Thalwil,Bezirk Horgen,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
243,"Eigenackerstrasse 45, 8193 Eglisau",47.581000200000005,8.516966836029578,"Eigenackerstrasse 45, 8193 Eglisau, Switzerland",,45,Eigenackerstrasse,,,,8193,Eglisau,Bezirk Bülach,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
244,"Eigenackerstrasse 45, 8193 Eglisau",47.581000200000005,8.516966836029578,"Eigenackerstrasse 45, 8193 Eglisau, Switzerland",,45,Eigenackerstrasse,,,,8193,Eglisau,Bezirk Bülach,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
245,"St.Gallerstrasse 188, 8404 Winterthur",47.49890225,8.761576394206449,"St. Gallerstrasse 188, 8404 Winterthur, Switzerland",,188,St. Gallerstrasse,,Oberwinterthur,,8404,Winterthur,Bezirk Winterthur,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
246,"Zugerstrasse 40, 6404 Küssnacht am Rigi",47.1024538,8.451129820671522,"Coop Pronto, Zugerstrasse 40, 6403 Immensee, Switzerland",Coop Pronto,40,Zugerstrasse,Küssnacht,,SZ,6403,Immensee,Küssnacht,Schwyz,Switzerland,ch,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
247,"Zürichstrasse 47, 8607 Aathal-Seegräben",47.337943249999995,8.76313738620009,"Zürichstrasse 47, 8607 Sack, Switzerland",,47,Zürichstrasse,,,,8607,Sack,Bezirk Hinwil,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
248,"Zürcherstrasse 34, 8604 Hegnau-Volketswil",47.3924365,8.6660756,"Auto Schiess, Zürcherstrasse 34, 8604 Volketswil, Switzerland",Auto Schiess,34,Zürcherstrasse,,,,8604,Volketswil,Bezirk Uster,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
249,"Überlandstrasse 160, 8953 Dietikon",47.4019858,8.4281293,"Ueberlandstrasse 160, 8953 Dietikon, Switzerland",,160,Ueberlandstrasse,,,,8953,Dietikon,Bezirk Dietikon,Zurich,Switzerland,ch,0.5,1,1,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
250,"Wilerstrasse 207, 9500 Kirchberg, 9500 Wil SG",47.465888,9.028415,"Wilerstrasse 74.5, 9500 Wil, Switzerland",,74.5,Wilerstrasse,Kirchberg,,,9500,Wil,Toggenburg,Saint Gallen,Switzerland,ch,0,,,0,© OpenAddresses contributors,BSD-3-Clause License,
251,"Sumpfstrasse,32, 6312 Steinhausen",47.187470899999994,8.485923494669688,"Sumpfstrasse 32, 6312 Steinhausen, Switzerland",,32,Sumpfstrasse,,Sumpf,ZG,6312,Steinhausen,,Zug,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
252,"Asetstrasse 37d, 6438 Ibach",47.00729975,8.648245632676657,"Asetstrasse 37d, 6438 Schwyz, Switzerland",,37d,Asetstrasse,Eigenwies,,SZ,6438,Schwyz,Schwyz,Schwyz,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
253,"Büelstrasse 44, 8604 Hegnau / Volketswil",47.39414,8.659262,"Büelstrasse 44, 8604 Volketswil, Switzerland",,44,Büelstrasse,Volketswil,,,8604,Volketswil,Uster,Zurich,Switzerland,ch,1,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
254,"Wässeristrasse 12, 8340 Hinwil",47.3046054,8.825916433158497,"Hintere Wässeristrasse 12, 8340 Hinwil, Switzerland",,12,Hintere Wässeristrasse,,,,8340,Hinwil,Bezirk Hinwil,Zurich,Switzerland,ch,0.9,1,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
255,"Nordring 2, 8854 Siebnen",47.177061550000005,8.90863920114002,"Nordring 2, 8854 Siebnen, Switzerland",,2,Nordring,,,SZ,8854,Siebnen,March,Schwyz,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
256,"Asetstrasse 37d, 6438 Ibach",47.00729975,8.648245632676657,"Asetstrasse 37d, 6438 Schwyz, Switzerland",,37d,Asetstrasse,Eigenwies,,SZ,6438,Schwyz,Schwyz,Schwyz,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
